编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
30,,天猫,点我对话,金光树旗舰店,金光树旗舰店,13586643383,13586643383,,,https://shop112603991.taobao.com/,48,205,浙江省宁波市,防晒霜,,4.94745分,0%,4.91593分,0%,4.91499分,0%,,,,,,,,,,
29,,天猫,点我对话,euisvi旗舰店,euisvi旗舰店,0575-87079760,0575-87079760,,,https://shop111346273.taobao.com/,155,131,浙江绍兴,防晒霜,,4.81577分,0%,4.75071分,0%,4.76262分,0%,,,,,,,,,,
28,,天猫,点我对话,angelpower旗舰店,angelpower旗舰店,400-8855015,400-8855015,,,https://shop117162753.taobao.com/,183,121,江西吉安,防晒霜,100.00%,4.94376分,0%,4.9276分,0%,4.92372分,0%,,,,,,,,,,
27,,天猫,点我对话,百德恒世五金专营店,百德恒世五金专营店,4008656592,4008656592,,,https://shop112635212.taobao.com/,45,112,北京,防晒霜,100.00%,4.97806分,0%,4.96344分,0%,4.9581分,0%,,,,,,,,,,
26,,天猫,点我对话,赫朗运动旗舰店,赫朗运动旗舰店,0579-87563693,0579-87563693,0579-87563693,,https://shop68577038.taobao.com/,42,103,浙江金华,防晒霜,100.00%,4.85645分,0%,4.80999分,0%,4.79926分,0%,,,,,,,,,,
25,,天猫,点我对话,thefirstoutdoor旗舰,thefirstoutdoor旗舰,4000981698,4000981698,,,https://shop70198810.taobao.com/,323,85,浙江杭州,防晒霜,100.00%,4.90738分,0%,4.89539分,0%,4.89539分,0%,,,,,,,,,,
24,,天猫,点我对话,仁尚鞋类专营店,仁尚鞋类专营店,13870071565,13870071565,,,https://shop68674340.taobao.com/,69,84,浙江杭州,防晒霜,100.00%,4.90241分,0%,4.86001分,0%,4.8675分,0%,,,,,,,,,,
23,,天猫,点我对话,fakeface旗舰店,fakeface旗舰店,18900807108,,,,https://shop105390167.taobao.com,36,83,浙江省金华市,防晒霜,100.00%,4.89456分,0%,4.85213分,0%,4.85171分,0%,,,,,,,,,,
22,,天猫,点我对话,musbeme旗舰店,musbeme旗舰店,020-32208058,,,,https://shop68599978.taobao.com,82,82,广东广州,防晒霜,,4.92069分,0%,4.89963分,0%,4.90375分,0%,,,,,,,,,,
20,,天猫,点我对话,门徒旗舰店,门徒旗舰店,13715195006,,13715195006,,https://shop101731722.taobao.com,805,68,广东深圳,防晒霜,,4.91114分,0%,4.85314分,0%,4.85026分,0%,,,,,,,,,,
21,,天猫,点我对话,poddities旗舰店,poddities旗舰店,15989881399,,15989881399,,https://shop107382003.taobao.com,20,68,广东深圳,防晒霜,,4.75791分,0%,4.58426分,0%,4.60086分,0%,,,,,,,,,,
19,,天猫,点我对话,如润数码专营店,如润数码专营店,18925276325,,,,https://shop108366030.taobao.com,51,55,广东省深圳市,防晒霜,,4.92647分,0%,4.89532分,0%,4.9074分,0%,,,,,,,,,,
18,,天猫,点我对话,古驭旗舰店,古驭旗舰店,020-34724239,020-34724239,,,https://shop114270984.taobao.com/,395,52,广东广州,防晒霜,,4.94034分,0%,4.92611分,0%,4.93391分,0%,,,,,,,,,,
17,,天猫,点我对话,卓希运动专营店,卓希运动专营店,025-85565137,025-85565137,025-85565137,,https://shop59983045.taobao.com/,932,45,江苏南京,防晒霜,,4.87589分,0%,4.84916分,0%,4.85026分,0%,,,,,,,,,,
16,,天猫,点我对话,都市飞狐户外旗舰店,都市飞狐户外旗舰店,4006188638,4006188638,,,https://shop72879526.taobao.com/,188,43,江苏南京,防晒霜,,4.9107分,0%,4.85964分,0%,4.85913分,0%,,,,,,,,,,
15,,天猫,点我对话,火狐狸户外专营店,火狐狸户外专营店,13777912499,13777912499,,,https://shop65509306.taobao.com/,578,42,浙江金华,防晒霜,,4.91451分,0%,4.87903分,0%,4.88216分,0%,,,,,,,,,,
14,,天猫,点我对话,英佳旗舰店,英佳旗舰店,0571-89878997,0571-89878997,,,https://shop73232776.taobao.com/,30,35,浙江杭州,防晒霜,,4.79854分,0%,4.74732分,0%,4.76507分,0%,,,,,,,,,,
13,,天猫,点我对话,德菲思家居专营店,德菲思家居专营店,17701513700,17701513700,,,https://shop67534293.taobao.com/,66,25,江苏无锡,防晒霜,100.00%,4.92643分,0%,4.88884分,0%,4.88713分,0%,,,,,,,,,,
11,,天猫,点我对话,施华蔻邕兴专卖店,施华蔻邕兴专卖店,021-62599058,021-62599058,,,https://shop106375212.taobao.com/,160,22,上海,防晒霜,100.00%,4.87205分,0%,4.84988分,0%,4.86745分,0%,,,,,,,,,,
12,,天猫,点我对话,goldenkey金钥匙旗舰店,goldenkey金钥匙旗舰店,,4001131415,,,https://shop101978509.taobao.com/,66,22,广东潮州,防晒霜,100.00%,4.8639分,0%,4.80405分,0%,4.82328分,0%,,,,,,,,,,
10,,天猫,点我对话,嘉博华化妆品专营店,嘉博华化妆品专营店,18652210207,18652210207,,,https://shop62000278.taobao.com/,160,12,北京,防晒霜,100.00%,4.88585分,0%,4.8154分,0%,4.8124分,0%,,,,,,,,,,
9,,天猫,点我对话,江帆泽化妆品专营店,江帆泽化妆品专营店,18003839985,18003839985,,,https://shop106357917.taobao.com/,8,5,北京,防晒霜,,4.86981分,0%,4.79858分,0%,4.80695分,0%,,,,,,,,,,
7,,天猫,点我对话,隐形盾旗舰店,隐形盾旗舰店,18350718608,18350718608,,,https://shop475560228.taobao.com/,231,1,福建莆田,防晒霜,100.00%,4.94403分,0%,4.93864分,0%,4.94349分,0%,,,,,,,,,,
8,,天猫,点我对话,韩衣朵朵旗舰店,韩衣朵朵旗舰店,18065361913,18065361913,,,https://shop68880641.taobao.com/,334,1,福建泉州,防晒霜,100.00%,4.92242分,0%,4.89883分,0%,4.89329分,0%,,,,,,,,,,
1,,天猫,点我对话,法普拉旗舰店,法普拉旗舰店,13128971660,,,,https://shop111216725.taobao.com,53,0,广东深圳,防晒霜,,4.93326分,0%,4.91822分,0%,4.89945分,0%,,,,,,,,,,
2,,天猫,点我对话,汉客旗舰店,汉客旗舰店,020-36276236,,,,https://shop61672715.taobao.com,47,0,广东广州,防晒霜,,4.89266分,0%,4.87846分,0%,4.87248分,0%,,,,,,,,,,
3,,天猫,点我对话,景润赉旗舰店,景润赉旗舰店,020-86282519,,,,https://shop102919499.taobao.com,46,0,广东广州,防晒霜,100.00%,4.72788分,0%,4.66809分,0%,4.67361分,0%,,,,,,,,,,
4,,天猫,点我对话,卓唯手表专营店,卓唯手表专营店,18301638119,18301638119,,,https://shop113261980.taobao.com/,408,0,北京,防晒霜,100.00%,4.89165分,0%,4.85332分,0%,4.85325分,0%,,,,,,,,,,
5,,天猫,点我对话,娅色旗舰店,娅色旗舰店,18932444896,18932444896,,,https://shop103390678.taobao.com/,114,0,广东省广州市,防晒霜,100.00%,4.92427分,0%,4.86075分,0%,4.87684分,0%,,,,,,,,,,
6,,天猫,点我对话,唯优母婴专营店,唯优母婴专营店,13308468460,13308468460,,,https://shop104261978.taobao.com/,165,0,湖南省长沙市,防晒霜,100.00%,4.86277分,0%,4.81754分,0%,4.83548分,0%,,,,,,,,,,
